Macro_Topic;Topic_Order;Micro_Topic;Level;Level_Name;Function_Name;Trap1_Message;Trap2_Message;Trap3_Message;Wrong_Message
Ułamki dziesiętne;4;Zaokrąglanie;2;Do części dziesiątych;dec_round_2;Masz zaokrąglić do części dziesiątych (jedno miejsce po przecinku)! Zatem patrzysz TYLKO na drugą cyfrę po przecinku, by zdecydować co zrobić z pierwszą.;Skreśliłeś źle. Zostaw tylko jedną cyfrę po przecinku.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;4;Zaokrąglanie;3;Zdradliwa dziewiątka;dec_round_3;Uwaga! Gdy zaokrąglasz 9 w górę, staje się ona dziesiątką, co oznacza, że musisz przepchnąć "jeden" do jeszcze wyższego rzędu (efekt domina).;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;5;Dodawanie;1;Bez przekroczenia rzędu;dec_add_1;Źle podstawiłeś przecinek w pamięci! Złota zasada dodawania to: Przecinek pod przecinkiem.;Błąd w sumowaniu liczb. Spróbuj dodać jeszcze raz.;Zapomniałeś o przecinku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;5;Dodawanie;2;Z przekroczeniem rzędu;dec_add_2;Zapomniałeś przenieść "1" do wyższego rzędu!;Przecinek nie jest w odpowiednim miejscu. Pamiętaj: przecinek opada idealnie w dół pod inne przecinki.;Błąd rachunkowy. Spróbuj powoli.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;5;Dodawanie;3;Różna liczba miejsc (np. 1.2 + 0.05);dec_add_3;Błąd dodawania różnej długości liczb! Zanim dodasz, wyrównaj je. Dopisz "0" na końcu krótszej liczby (np. zrób z 1.2 -> 1.20).;Przecinek jest ułożony źle. W działaniach pisemnych przecinek absolutnie musi stać nad przecinkiem.;Błąd sumowania.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;6;Odejmowanie;1;Bez pożyczania;dec_sub_1;Przecinek uciekł w złe miejsce! W odejmowaniu pisemnym zasada to przecinek idealnie pod przecinkiem.;Odjąłeś w drugą stronę (od dolnej liczby górną)! Zawsze odejmujemy od góry.;Błąd w obliczeniach.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;6;Odejmowanie;2;Z pożyczaniem;dec_sub_2;Zapomniałeś o pożyczaniu z sąsiedniego rzędu!;Błędnie przepisałeś przecinek. Przecinek opada równo na dół.;Błąd rachunkowy przy odejmowaniu.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;6;Odejmowanie;3;Z dopisywaniem zer (np. 1 - 0.25);dec_sub_3;Nie masz od czego odjąć liczby! Najpierw dopisz pożyczkowe zera na górze (zrób z 1 -> 1.00) i dopiero wtedy pożyczaj.;Błąd w rzędzie dziesiątek - gdy pożyczasz nad zerem, to zero staje się 9.;Błąd pożyczania.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;7;Przesuwanie przecinka;1;Mnożenie przez 10, 100...;dec_comma_1;Przesunąłeś przecinek w lewą stronę! Mnożenie robi liczbę WIEKSZĄ, więc przecinek maszeruje w PRAWO.;Przesunąłeś o złą liczbę miejsc. Mnożąc przez 100 masz dwa zera, więc dwa skoki.;Brak wykreślenia jedynek. Ułamek jest przesunięty, ale format dziwny.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;7;Przesuwanie przecinka;2;Dzielenie przez 10, 100...;dec_comma_2;Przesunąłeś przecinek w prawą stronę! Dzielenie robi liczbę MNIEJSZĄ, więc przecinek ucieka w LEWO.;Przesunąłeś o złą liczbę miejsc. Dzieląc przez 100 masz dwa zera, więc robisz dwa skoki w lewo.;Brakuje zera z przodu po przecinku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;8;Mnożenie;1;Przez liczbę jednocyfrową;dec_mult_1;Źle wstawiony przecinek w wyniku! Wymnóż liczby jakby przecinka nie było, a potem wstaw go tak, by po przecinku było tyle samo miejsc co w pytaniu.;Zły wynik mnożenia.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;8;Mnożenie;2;Ułamek przez ułamek;dec_mult_2;Pomyłka z przecinkiem! Policz wszystkie miejsca po przecinku w OBU mnożonych liczbach. Twój wynik musi mieć ich sumę!;Błąd w obliczeniach.;Za mało miejsc po przecinku w wyniku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
